City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Komyshuvakha,UA,47.72,35.53,46.2,100,90,8.95
Bengkulu,ID,-3.8,102.27,80.02,75,100,2.39
Punta Arenas,CL,-53.15,-70.92,46.4,87,90,4.7
Yellowknife,CA,62.46,-114.35,3.9,77,75,8.05
Mataura,NZ,-46.19,168.86,57.99,82,100,13.0
Jamestown,US,42.1,-79.24,57.11,44,1,10.29
Bluff,NZ,-46.6,168.33,57.99,82,100,13.0
Malanje,AO,-9.54,16.34,63.37,96,100,2.37
Faya,SA,18.39,42.45,59.0,44,0,2.82
East London,ZA,-33.02,27.91,67.84,85,100,8.46
Aleppo Governorate,SY,36.25,37.5,58.51,88,100,14.58
Rikitea,PF,-23.12,-134.97,73.53,69,39,10.4
Mahébourg,MU,-20.41,57.7,71.6,83,75,10.29
Altagracia de Orituco,VE,9.86,-66.38,70.9,92,57,4.12
Vila Velha,BR,-20.33,-40.29,73.42,83,90,4.7
Kaoma,ZM,-14.78,24.8,67.1,78,100,4.47
Takoradze,GH,4.88,-1.76,79.03,85,100,5.1
Saldanha,ZA,-33.01,17.94,59.0,93,100,13.87
George Town,MY,5.41,100.34,79.05,88,20,3.36
Vaini,TO,-21.2,-175.2,80.6,74,40,13.87
Jasper,US,37.2,-94.35,64.2,42,1,11.41
Khatanga,RU,71.97,102.5,-7.08,90,0,7.67
Mäntsälä,FI,60.66,25.28,37.8,100,75,5.82
Bethel,US,41.37,-73.41,50.95,66,1,9.17
Poum,NC,-20.23,164.02,76.69,78,1,10.27
Clyde River,CA,70.47,-68.59,-2.2,70,5,17.22
Souillac,MU,-20.52,57.52,71.6,83,75,10.29
Albany,US,42.6,-73.97,47.53,50,1,11.41
Fonte Boa,BR,-2.5,-66.27,78.51,82,82,1.86
Jamame,SO,0.07,42.75,77.47,84,99,5.91
Mersing,MY,2.43,103.84,75.2,94,20,3.36
Ürümqi,CN,43.8,87.6,37.4,47,0,4.47
Zhigansk,RU,66.77,123.37,1.78,93,100,4.88
Tasiilaq,GL,65.61,-37.64,32.0,79,75,17.22
Hobart,AU,-42.88,147.33,56.95,43,75,8.05
Saskylakh,RU,71.92,114.08,-8.32,90,97,5.17
Tomatlán,MX,19.93,-105.25,75.61,75,0,1.79
Karpathos,GR,35.51,27.21,64.4,59,0,26.4
Ha Tinh,VN,18.33,105.9,69.55,85,100,5.32
Riyadh,SA,24.69,46.72,60.8,41,0,3.22
Fortuna,US,40.6,-124.16,61.27,93,1,6.93
Cabras,IT,39.93,8.53,55.99,87,100,1.99
Port-Gentil,GA,-0.72,8.78,77.7,88,100,5.17
Hay River,CA,60.82,-115.8,9.52,85,14,4.7
Tigzirt,DZ,36.89,4.12,66.83,60,11,6.76
Salice Salentino,IT,40.39,17.96,60.76,100,40,4.7
Granadilla de Abona,ES,28.12,-16.58,65.61,68,40,11.41
Srednekolymsk,RU,67.45,153.68,5.63,93,100,21.79
Mehamn,NO,71.04,27.85,36.09,83,0,14.41
San Vicente,AR,-26.62,-54.13,59.16,48,0,6.58
Russell,US,32.35,-85.2,55.67,81,1,4.59
Sungai Raya,ID,0.7,108.9,77.94,86,100,3.6
Hong Kong,HK,22.29,114.16,70.03,67,0,5.01
Ushuaia,AR,-54.8,-68.3,55.4,58,0,8.05
Talnakh,RU,69.49,88.4,1.4,84,40,8.95
Inhambane,MZ,-23.86,35.38,73.47,89,100,6.55
Chukhloma,RU,58.75,42.68,42.87,92,100,9.26
Zhangye,CN,38.93,100.45,36.52,63,0,2.66
Saint-Philippe,RE,-21.36,55.77,67.6,60,0,5.82
Bredasdorp,ZA,-34.53,20.04,66.2,88,100,10.29
Avarua,CK,-21.21,-159.78,73.4,83,100,8.05
Butaritari,KI,3.07,172.79,81.37,73,100,10.58
Hilo,US,19.73,-155.09,79.74,62,1,10.29
Hermanus,ZA,-34.42,19.23,66.0,88,100,3.0
Lastoursville,GA,-0.81,12.73,72.86,95,100,2.08
Tuktoyaktuk,CA,69.45,-133.04,10.4,78,75,11.41
Imbituba,BR,-28.24,-48.67,62.6,55,40,9.17
Susa,IR,32.19,48.24,62.29,55,0,1.97
Arraial do Cabo,BR,-22.97,-42.03,70.03,83,0,5.86
Busselton,AU,-33.65,115.33,65.41,39,0,9.84
Xinqing,CN,48.23,129.5,25.59,85,0,5.37
Tual,ID,-5.67,132.75,82.71,76,17,10.67
Umuarama,BR,-23.77,-53.33,68.49,51,0,2.17
